Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,33.6283, ,Mean Pore Area,2318.2778
Histogram Mean,-614.6052, ,Pore Area SD,3846.9840
Histogram SD,178.2402, ,Min. Pore Area,118.0000
Histogram Mode,8.0000, ,Max. Pore Area,13256.0000
Histogram Median,32.0000, ,Percent Porosity,0.6602
Histogram Min Diam.,2.0000, ,Number of Pores,18.0000
Histogram Max Diam.,194.0000, ,# of Intersections,94.0000
Histogram Integrated Density,100854.0000, ,Intersection Density (100x100px),1.1953
Histogram Raw Integrated Density,100854.0000, ,Char. Length,59.7262
Diameter Skewness,1.1467, ,SD Char. Length,69.1096
Diameter Kurtosis,0.4714, ,Max Span Length,371.1737
Fiber Length,4555.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),84.6094
